Isad311Référence;Isad312Intitulé;Isad313Dates;Isad313DatesNormees;Isad315ImportanceMatérielle;Isad321NomProducteur;CategorieFonds;TypeInstrumentRecherche;url
CH BGE Non catalogué (1998/014);Papiers Jean-Marie Pastor;20e s.;1980/1998;2.2 m.;Pastor, Jean-Marie (né en 1953);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vtadae147c0a6bad13c
CH BGE Ms. fr. 2391-2460;Archives de la famille Claparède;15e - 20e s.;1400/1999;3.5 m.;Claparède, famille;Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vta7ecd6d786950e4b4
CH BGE Non catalogué (2006/016);Papiers Richard Simon;20e - 21e s.;1900/2099;2 m.;Simon, Richard (1959-2001);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vta959ba4c08e0d5e66
CH BGE Ms. fr. 6967-6975;Archives de la Société d'établissement des orphelines protestantes de Genève;1828-1945;1828/1945;1.42 ml [8 cartons];Société d'établissement des orphelines protestantes de Genève;Collectivités;Normal;https://archives.bge-geneve.ch/ark:/17786/vta114124573c8d0ba7
CH BGE Ms. fr. 7086-7159;Fonds Ella Maillart;20e s.;1900/1999;10 m.l.;Maillart, Ella (1903-1997);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vta93fadf192b588e45
CH BGE Ms. fr. 1401-1402;Papiers Samuel Vaucher-Crémieux;1772-1899;1772/1899;0.1 m.;Vaucher-Crémieux, Samuel (1798-1877);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vta6b29b122005e923e
CH BGE Ms. fr. 611-630;Papiers Firmin Abauzit;17e s. - 18e s.;1600/1799;0.3 m.;Abauzit, Firmin (1679-1767);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vtaa19be584883eebc3
CH BGE Arch. Max van Berchem 1-38;Correspondance Max van Berchem;1878-1978;1878/1978;2.7 m;Berchem, Max van (1863-1921);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vta2cf76495bf66ab16
CH BGE Non catalogué (2005/042, 2007/045);Fonds Gabriel Mützenberg;20e s.;1930/1999;14 m.;Mützenberg, Gabriel (1919-2003);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vta53bdef83b8c1a069
"CH BGE Non catalogué (2016/27; 2018/14)";Papiers François Bartholoni;19e-20e siècle;1800/1999;2 m;Bartholoni, François (1796-1881);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vta61231bfa6c871a9f
"CH BGE Ms. fr. 201-206, 215-250; Ms. fr. 7252-7260 et cotes diverses. Ms. R. (propriété de la Société J.-J Rousseau)";Collection des manuscrits de Jean-Jacques Rousseau;1722-1807;1722/1807;1.2 m.;Rousseau, Jean-Jacques (1712-1778);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vtac4d10e1e493b2200
CH BGE Ms. fr. 2188-2192, Ms. l. e. 271;Correspondance de Carl Vogt;1814-1913;1814/1913;5 volumes + 1 carton;Vogt, Carl (1817-1895);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vta5df4f7ebfbcc72e2
CH BGE non catalogué (1943);Papiers Jean-Jacques Rigaud;18e - 19e s.;1700/1899;0.4 m.;Rigaud, Jean-Jacques (1785-1854);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vta5e0ef31870ffadc1
CH BGE Ms. fr. 4961-4969, 5156-5180;Papiers Georges Cattaui;1889-1974;1889/1974;2.8 m;Cattaui, Georges (1896-1974);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vtaa48167690336cc76
CH BGE Non catalogué (1955/006);Papiers Charles Vellay;19e - 20e s.;1800/1999;1.7 m.;Vellay, Charles (1876-1953);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vtae9650387cf12de5e
CH BGE Ms. fr. 4450-4464;Papiers Albertine Necker-de Saussure;18e - 19e s.;1773/1881;0.5 m;Necker, Albertine, née de Saussure (1766-1841);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vtad3c0caa4488eacbc
CH BGE Non catalogué (2013/33);Papiers Francis Andruet;circa 1958-1997;1958/1997;0.3 m;Andruet, Francis (1923- );Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vtaac06131d2d60ff2b
CH BGE Non catalogué (2005/39, 2016/8, 2019/1, 2020/33);Papiers Henry Mottu;20e s.;1977/1999;0.1 m.;Mottu, Henry (né en 1939);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vtae75d1da3f35462da
CH BGE Ms. suppl. 1081-1133;Collection Léonard Bourdillon;1309-1817;1309/1817;1.1 m;Bourdillon, Léonard (1725-1802);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vta18e377285e77a1dc
CH BGE Non catalogué (1998/003);Papiers Ernst Wiederkher;20e - 21es.;1900/2099;0.3 m.;Wiederkher, Ernst (né en 1921);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vtadac29638aa054f5e
CH BGE Ms. fr. 7240-7249;Papiers Frank Duperrut;18e - 19e s.;1801/1999;0.7 m;Duperrut, Frank (1862-1910);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vta4062cdc80383c5e9
CH BGE Ms. fr. 8192-8193;Papiers Colette de Veyrac, Swiss American Friends of Music;1948-1953;1948/1953;0,15 m, 2 cartons;Colette de Veyrac (1907-1992);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vta1c0b77bb7dfc26a6
CH BGE Ms. fr. 4279-4295;Papiers Edouard Martinet;20e s.;1900/1950;1.3 m;Martinet, Edouard (1896-1962);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vtac39a1a4605599383
CH BGE Ms. Cramer 1-180;Papiers Jean Cramer;18e s.;1700/1799;4.5 m.;Cramer, Jean (1701-1773);Personnes et familles;Description linéaire;https://archives.bge-geneve.ch/ark:/17786/vtaa55b911a3aa0b401
CH BGE non catalogué (2017/11, 2019/17);Papiers Alexandre Trifu;seconde partie du XXe siècle-début XXIe siècle;1970/2015;0,5 ml.;Trifu, Alexandre (1942-);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vta4c43cb7c6106f3cb
CH BGE Ms. Briquet 1-84;Papiers Charles-Moïse Briquet;1885-1909;1885/1909;4.9 m.;Briquet, Charles-Moïse (1839-1918);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vta71f79c0752a3f098
"CH BGE Non catalogué (2010/33; 2012/40)";Papiers Jean Herbert;circa 1940-1970;1940/1970;5.5 m;Herbert, Jean (1897-1980);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vtaa4711b1297f84c0b
CH BGE Ms. Moroy 1-59;Papiers Elie Moroy;18e-20e s.;1700/1965;4.5 m;Moroy, Elie (1892-1965);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vta935081d91c1e1d17
CH BGE Arch. F. Chaponnière A-Z;Archives Francis Chaponnière;19e - 20e s.;1800/1999;8.1 m;Chaponnière, Francis (1842-1924);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vta26e0ac0a40c083b5
CH BGE Ms. fr. 3801-3870 bis;Papiers Théophile Dufour;1863-1934;1863/1934;5.6 m.l.;Dufour, Théophile (1844-1922);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vta015edbc6b0b0e08f
CH BGE Non catalogué (1997/050);Papiers Auguste Dide;19e - 20e s.;1800/1920;0.2 m.;Dide, Auguste (1839-1918);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vta8131b2adc03e3bd1
CH BGE Ms. fr. 3287-3290, 4151-4163;Papiers Louis Odier;18e - 19e s.;1765/1831;0.6 m.;Odier, Louis (1748-1817);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vtacef6d1f36793fb7c
CH BGE Ms. fr. 6961-6966;Archives de la Société d'aumônes;1828-1945;1828/1945;0.5 m.l.;Société d'aumônes (Genève);Collectivités;Normal;https://archives.bge-geneve.ch/ark:/17786/vtaf18787ac740a4575
CH BGE Ms. fr. 1803-1805;Papiers David Chauvet;18e - 19e s.;1000/1899;0.1 m.;Chauvet, David (1738-1803);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vtac2a337ac4b67f6a2
CH BGE Ms. fr. 1769-1771;Manuscrits Raoul Privat;20e s.;1900/1999;0.3 m.;Privat, Raoul;Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vtafe1ef7467753151d
"CH BGE Non catalogué (2011/6; 2012/27)";Papiers Alain-Pierre Pillet;circa 1960-2009;1960/2009;0.7 m;Pillet, Alain-Pierre (1947-2009);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vta7c31b6e4617f74bf
CH BGE Ms. fr. 8024-8026;Papiers Isabelle Martin-Mallet;1914-1952;1914/1952;0.2 m;Martin, Isabelle, née Mallet (1880-1962);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vtadc2eb8dce0bbe346
CH BGE Ms. fr. 6131-6155;Papiers Henri-Léonard Bordier;1810 - 1921;1810/1921;1.8 m.;Bordier, Henri-Léonard (1817-1888);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vtad81e6e197dd54398
CH BGE Ms. fr. 5844-5857;Papiers David Tissot;1835-1900;1835/1900;1.3 m;Tissot, David (1824-1900);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vtab9606630cbedc474
CH BGE Ms. fr. 7647-7649;Notes de cours de Théophile Geisendorf;1891-1918;1891/1918;0.3 m;Geisendorf, Théophile (1874-1953);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vta2fb4862ae2fdc74e
CH BGE non catalogué (1991/008, 1994/023);Papiers Robert H. Graf;20e s.;1900/1999;2 m.;Graf, Robert H. (20e s.);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vta826a7772b1364723
CH BGE Non catalogué (1995/013);Papiers Camylle Hornung;20e s.;1900/1999;0.9 m.;Hornung, Camylle (1902-1995);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vta34cc2be9f49a547d
CH BGE Non catalogué (2013/34);Papiers Pierre Duvernay;1955-1995;1955/1995;0.8 m;Duvernay, Pierre (1930-);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vta9150f4328f809285
"CH BGE Non catalogué (2014/7; 2016/31)";Papiers Béatrice Perregaux;1950-2000;1950/2000;2 m;Perregaux, Béatrice (1937-1998);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vtaaeb5f3be6a6b41c9
CH BGE Ms. Edmond Pictet (dépôt de la SHAG);Papiers Edmond Pictet;19e s.;1850/1899;0.7 m.;Pictet, Edmond (1835-1901);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vtafaab7784dffe1ba2
BGE FOBB;Archives de la Fédération des ouvriers du bois et du bâtiment de Genève, section Bois;1814-1948. Hormis deux pièces datant de 1948, le fonds concerne les années 1814-1922;1814/1948;0.4 m.;Chambre syndicale et internationale des ouvriers menuisiers de Genève et Chambre syndicale des ouvriers tapissiers de Genève. Ces organisations précèdent la Fédération des ouvriers du bois et du bâtiment (FOBB);Collectivités;Normal;https://archives.bge-geneve.ch/ark:/17786/vtab85402faa459625c
CH BGE Non catalogué (1985/16, 2013/3);Papiers Ernst Stueckelberg de Breidenbach;20e siècle;1900/1999;3.5 m;Stueckelberg de Breidenbach, Ernst (1905-1984);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vtab43868090c2bed49
"Ms. fr. 8045 - 8123; non catalogué (2012/26, 2013/27)";Fonds Armand Borel;1942-2004;1942/2004;7.4 m.;Borel, Armand (1923-2003);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vta3e16683f330a83f3
CH BGE Ms. suppl. 1786-1810;Papiers Charles-Louis Longchamp;1840-1937;1840/1937;1.65 m;Longchamp, Charles-Louis(-Jacques) (1802-1874);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vta9bf7a7a809080922
CH BGE Ms. fr. 8393-8394;Papiers Alfred Favier;1902-1918;1902/1918;0.2 m.;Favier, Alfred (1864-1961);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vta1f2acb31c20bb387
CH BGE Non catalogué (1996/008, 2002/027);Papiers René Schaerer;20e s.;1900/1999;3.5 m;Schaerer, René (1901-1995);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vta64c045a1b3d77796
CH BGE Ms. fr. 1512-1516, 1599, 1999;Papiers Léopold Gautier;4 janvier [1894?]-1971;1894/1971;0.3 m.;Gautier, Léopold (1884-1973);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vta8cc4a8cd636da030
CH BGE Ms. fr. 6871-6928;Papiers Robert Esnault-Pelterie;1857-1959;1857/1959;5.6 m;Esnault-Pelterie, Robert (1881-1957);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vtacf536ff714fa6f64
"CH BGE Ms. fr. 1783, 1824 ; non catalogué (1995/32, 1997/33)";Papiers Sven Stelling-Michaud;20e s.;1900/1999;3.4 m;Stelling-Michaud, Sven (1905-1986);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vta5f196aa0889cfe04
CH BGE Non catalogué (1957/039, 2000/024);Papiers Ellen Reibold de la Tour;19e - 20e s.;1800/1999;7.6 m.;Reibold de la Tour, Ellen Léopoldine Mary (1882-1986);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vtadf6ef3e23581a02c
CH BGE Ms. fr. 6981-7080bis, 7859-7860;Papiers Marcel Raymond;1905-1987;1905/1987;6.2 m;Raymond Marcel (1897-1981);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vta8acb153526e40538
CH BGE Ms. fr. 5723-5724;Papiers Regny-Castellini;1732-1879;1732/1879;0.2 m;Regny-Castellini, famille (18e - 19e s.);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vta86e9090788f61131
CH BGE Ms. fr. 8294-8391;Papiers des familles de Morsier, Naville et Claparède;1784-1997;1784/1997;7.7 m;Famille de Morsier, Naville et Claparède;Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vta1b28edb775f2ed71
CH BGE Non catalogué (2013/16);Papiers Eric Fuchs;1981-2009;1981/2009;0.2 m;Fuchs, Eric (1932 - );Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vta8bc10858eb053bcb
CH BGE Non catalogué (1978/002, 1979/038, 1988/033);Papiers Jacques Urbain;20e - 21e s.;1900/2099;0.3 m.;Urbain, Jacques;Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vtad0f629f628c593d0
CH BGE Ms. fr. 3155-3165;Manuscrits Claudius Fontaine-Borgel;1850-1900 et sans date;1850/1900;0.7 m;Fontaine-Borgel, Claudius (1838-1900);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vtab2892d9cfeb0aa85
CH BGE Ms. fr. 5401-5420;Papiers Charles Eggimann;1853-1946;1853/1946;1.1 m;Eggimann, Charles (1863-1948);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vta77de8312553082e9
CH BGE Ms. fr. 3615-3622;Papiers Frédéric-Alexandre-Marie Jeanneret, dit abbé Jeanneret;1414-1781;1414/1781;0.2 m;Jeanneret, Frédéric-Alexandre-Marie;Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vta87b222856ae0ecbc
CH BGE Ms. fr. 2491-2502;Papiers Frédéric Soret;1829-1864;1829/1864;0.40 m.;Soret, Frédéric (1795-1865);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vtadacfb8721daae8b0
CH BGE Ms. fr. 1227-1230;Papiers Henri Reverdin;1889-1966;1889/1966;0.3 m.;Reverdin, Henri (1880-1975);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vtab578a48a213d8de7
CH BGE Ms. fr. 1833-1834;Papiers Manfred Schenker;1906-1959;1906/1959;0.2 m;Schenker, Manfred (1883-1970);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vta833227b249866daf
CH BGE Arch. Belles-Lettres 0, 1-247;Société de Belles-Lettres (Genève);1799 - 1974;1799/1974;11 m;Société de Belles-Lettres (Genève);Collectivités;Normal;https://archives.bge-geneve.ch/ark:/17786/vta2e0a8b9e68366dce
CH BGE Non catalogué (2004/003);Papiers Pierre Bouru;1949-2001;1949/2001;1.5 m.;Bouru, Pierre (né en 1928);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vta8111493c73664298
CH BGE Ms. fr. 1531-1535;Papiers Giovanni Gambini;18e - 19e s.;1700/1899;0.3 m.;Gambini, Giovanni (1762-1842);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vta4ab0365813dad5cc
CH BGE Ms. fr. 1825-1887;Papiers Charles Giron;1857-1945;1857/1945;0.2 m;Giron, Charles (1850-1914);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vtadd9efa53959dfeaf
CH BGE Ms. fr. 1603-1610;Papiers Gustave Rochette;1874-1893;1874/1893;0.3 m.;Rochette, Gustave (1828-1895);Personnes et familles;Description linéaire;https://archives.bge-geneve.ch/ark:/17786/vtaf36d79313ff94edb
CH BGE Ms. fr. 1630-1632;Collection d'autographes de Burkhard Reber;1871-1918;1871/1918;0.3 m.;Reber, Burkhard (1848-1926);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vtaa2affb5e64cab052
CH BGE Ms. fr. 2311-2326;Archives de la famille De la Rive;1680-1920;1680/1920;1.5 m.;De la Rive, famille (18e-20e sècle);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vta866397e1903bbe9a
CH BGE Ms. fr. 3601-3606;Papiers de la famille de Bieux;1271-1815;1271/1815;0.3 m.;Bieux, famille de;Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vtaf8fda40718e49e75
CH BGE Ms. fr. 6321-6355;Papiers Kikou Yamata;19e - 20e s.;1800/1999;2 m.;Yamata, Kikou (1897-1975);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vta6ba33bb21d69f8a6
CH BGE Ms. fr. 5951-6074, 7510-7542, non catalogué (2017/4);Papiers Charles Baudouin;19e - 21e s.;1800/2003;14 m.;Baudouin, Charles (1893-1963);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vtab374637d1adcc11b
"CH BGE Non catalogué (1996/032; 2012/009)";Fonds François Le Coultre;20e s.;1900/1999;2.5 m;Le Coultre, François (20e s.);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vta75b8acbb7068f6ff
CH BGE Ms. fr. 1135, 1713-1715;Papiers Théophile Geisendorf;1894-1920;1894/1920;0.2 m;Geisendorf, Théophile (1874-1953);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vtaa5fe47bcfa81ec7c
CH BGE Ms. Comp. des pasteurs 1041-1243;Archives et manuscrits de la Compagnie des pasteurs;1707-2010;1707/2010;17 ml. (202 cartons);Consistoire, Compagnie des pasteurs, paroisses, Sociétés, Faculté de thélogie, pasteurs, personnes tiers;Collectivités;Normal;https://archives.bge-geneve.ch/ark:/17786/vtafdc887886461374c
CH BGE Ms. fr. 4101-4150;Papiers Charles d'Eternod;1871-1955;1871/1955;2.5 m;Eternod, Charles d' (1890-1953);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vta79551b3951298f63
CH BGE Ms. fr. 1509-1511;Papiers Denys Droin;1940-1980;1940/1980;0.3 m;Droin, Denys (1904-1980);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vta5615b75c67b4b706
"CH BGE Ms. Mallet (dépôt de la SHAG); Ms. fr. 3141-3151";Papiers Edouard Mallet;1409-1938;1409/1938;0.7 m;Mallet, Edouard (1805-1856);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vta57d139b2db581d50
CH BGE Non catalogué (2004/018);Papiers Robert Martin-Achard;20e s.;1950/1999;0.6 m.;Martin-Achard, Robert (1919-1999);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vtadf76e3dd4b1a6d65
CH BGE Ms. fr. 1064, 4935-4956, 9190-9192;Papiers Joseph Duvillard;19e;1800/1888;2,2 m;Duvillard, Joseph (1836-1920);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vta14a100d198a1a535
CH BGE Non catalogué (2011/24);Papiers Alfred Berchtold;1950-2008;1950/2008;1.8 m;Berchtold, Alfred (1925- );Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vta38c2d66078136bfe
"CH BGE Ms. fr. 3261-3279; Ms. suppl. 464-465, 636, 1318";Papiers Jean-Aimé Gaudy-Le Fort;1803-1841 et sans date;1803/1841;0.6 m.;Gaudy-Le Fort, Jean-Aimé (1773-1850);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vtac8da2d4d07a6c4ef
