Isad311Référence;Isad312Intitulé;Isad313Dates;Isad313DatesNormees;Isad315ImportanceMatérielle;Isad321NomProducteur;CategorieFonds;TypeInstrumentRecherche;url
CH BGE Non catalogué (1972/003);Papiers Henri Bartholdi;20e s.;1800/1999;1.2 m.;Bartholdi, Henri (1885-1972);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vta7cd16181f9d99291
CH BGE Ms. fr. 4876-4880;Papiers Fernand Fournier-Marcigny;1906-1970;1906/1970;0.4 m;Fournier-Marcigny, Fernand (1896-1975);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vta3b06a0c58c3c8a1f
CH BGE Ms. fr. 2331-2388, 4087-4099, 9036;Papiers Henry Spiess;1892 - 1939;1892/1939;1.5 m;Henry Spiess (1876-1940);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vta8cef711f6804260a
CH BGE Non catalogué (1999/012);Papiers Edmond Beaujon;20e s.;1900/1999;0.7 m.;Beaujon, Edmond (1905-1989);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vta44916e0feb7a6d8f
CH BGE Non catalogué (2013/35);Papiers Gabriel Widmer;1960-2003;1960/2003;2.5 m;Widmer, Gabriel (1923-2013);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vta89e38fbae0cb5174
CH BGE Ms. suppl. 471-487, 1039-1044, Ms. fr. 631-644, 1008-1012;Papiers Jean Senebier;1608-1820;1608/1820;1.55 m.;Senebier, Jean (1742-1809);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vta2fbf5a99d6ccb5a1
Ms. fr. 1236, 7646;Papiers Jean-Pierre Saint-Ours;1701-1878;1701/1878;0.2 m.;Saint-Ours, Jean-Pierre (1752-1809);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vta2583f9df24ceb027
CH BGE Ms. fr. 697-700;Papiers Paul Chaix;19e s.;1800/1899;0.2 m;Chaix, Paul (1808-1901);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vta22af1973a06cb727
CH BGE Ms. fr. 8127-8131;Papiers René Bovard;20e s.;1900/1999;0.5 m.;Bovard, René (1900-1983);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vta9cb0a5af529f7fcd
CH BGE Ms. fr. 5801-5826, 7979-7994;Archives du Monument international de la Réformation et autres documents provenant de la Société du Musée historique de la Réformation;1835-1954;1835/1954;21.3 m;Société du Musée historique de la Réformation (1897- );Collectivités;Normal;https://archives.bge-geneve.ch/ark:/17786/vtadb951ed22ee7646a
CH BGE Ms. fr. 1430-1433, Ms. fr. 1744, Ms. fr. 9009/12;Papiers Alix de Watteville;1845-1964;1845/1964;0.3 m.;Watteville, Alix de (1889-1964), pseudonyme Alville;Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vta77687759c1eb599b
CH BGE Ms. fr. 916-933;Papiers Etienne-Salomon Reybaz;1760-1822;1760/1822;1.1 m.;Reybaz, Etienne-Salomon, 1737-1804;Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vta69b3f37b2da9e067
"CH BGE Ms. fr. 650, 652, 656-657 ; Ms. suppl. 384";Papiers Gabriel Cramer;1728-1751;1728/1751;0.4 m;Cramer, Gabriel (1704-1752);Fonds/CategorieFonds ABSENT;Fonds/TypeInstrumentRecherche ABSENT;https://archives.bge-geneve.ch/ark:/17786/vtaee1101ff521de7a5
CH BGE Non catalogué (2005/010);Fonds Franz Leenhardt;20e s.;1900/1999;3.5 m.;Leenhardt, Franz (1902-1990);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vta550f7381cceda292
CH BGE Ms. fr. 8247-8258;Collection d'autographes Curtet;1800-1937;1800/1937;1 m;Curtet, Jean-Christophe;Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vtaa90f973d1e300ce0
CH BGE Ms. fr. 4361-4442;Papiers Victor Martin;1886-1963;1886/1963;5.8 m;Martin, Victor (1886-1964);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vta43ca646770305cbb
CH BGE Ms. fr. 1368-1373;Manuscrits Fernand Benoît;1906-1959;1906/1959;0.5 m.;Benoît, Fernand (1885?-1962);Personnes et familles;Description linéaire;https://archives.bge-geneve.ch/ark:/17786/vta9c476e6f2cff559e
CH BGE Ms fr. 1615-1619;Papiers Pierre Schmidtmeyer;1795-1829;1795/1829;4 cartons et 1 volume;Schmidtmeyer, Pierre (1772-1829);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vta4a258aff2b76bc22
CH BGE Non catalogué (2004/031);Papiers de la famille Appia;18e-19e s.;1700/1899;0.1 m.;Appia, famille (18e-19e s.);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vta613e3c2055d02e34
"CH BGE Non catalogué (2011/34; 2013/20)";Papiers Pierre Reymond;1979-2002;1979/2002;1.5 m;Reymond, Pierre (1931-2003);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vta7c40f96d5baa105d
CH BGE Non catalogué (1994/005);Papiers Pierre Holdener;20e - 21e s.;1900/2099;0.5 m.;Holdener, Pierre;Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vtaa1e8ff7535e6a1d0
CH BGE Ms. fr. 296-300;Correspondance Jacob Vernes;1748-1791;1748/1791;0.3 m;Vernes, Jacob (1728-1791);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vta8de6c2ef34892a6c
CH BGE Ms. fr. 1323-1324;Autographes de la Collection Paul Chaponnière;1795-1924;1795/1824;0.2 m.;Chaponnière, Paul (1883-1956);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vta3a9669997d377762
"CH BGE cotes diverses; non catalogué (2004/51; 2006/27; 2010/4; 2012/8, 2016/24)";Papiers Jean-Claude Fontanet;1930-2009;1930/2009;33 m;Fontanet, Jean-Claude (1925-2009);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vta04bc628c8c783757
"CH BGE non catalogué (2004/021; 2005/026)";Papiers Rudolf Engler;20e s.- 2003;1901/2003;10 m.;Engler, Rudolf (1930-2003);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vta05d1f6bd756c5755
CH BGE Ms. suppl. 1766-1785bis;Collection Henri Boissier;1707-1839;1707/1839;1 m;Boissier, Henri (1762-1845);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vta3c9a1e7adf8f64b6
CH BGE Ms. fr. 1112-1121, 1156-1193, 1809-1812;Papiers Charles Du Bois-Melly;1226-1904;1226/1904;1.6 m.;Du Bois-Melly, Charles (1821-1905);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vta46124dc2e6afb12a
CH BGE Ms. fr. 1644-1646, 6786-6831;Papiers Alfred Boissier;1679-1946;1679/1946;4 m;Boissier, Alfred (1867-1945);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vta87c0e00f42935736
CH BGE Ms. fr. 579-580, 595-596;Papiers Georges Berguer;1892-1946;1892/1946;0.2 m;Berguer, Georges (1873-1945);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vtaf711a0d01d4218de
CH BGE Ms. fr. 3671-3728;Papiers Charles-François Brot;1791-1949 et sans date;1791/1949;1.6 m;Brot, Charles-François (1823-1895);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vta7f69b6b112c7a698
CH BGE Ms. Lullin 1-78;Papiers Ami Lullin;17e - 19e s.;1600/1899;2.4 m.;Lullin, Ami (1695-1756);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vta0528c4753e010c19
CH BGE Ms. fr. 2601-2609;Correspondance Charles Ritter;1853-1910;1853/1910;0.5 m;Ritter, Charles (1838-1908);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vtaf23fccd054efd8f6
CH BGE Ms. fr. 1237-1240, 4881-4890, 8550-8563;Papiers Jean Violette;19e - 20e s.;1800/1999;2 m;Violette, Jean (1876-1964), pseudonyme de Jean Frédéric von Gunten;Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vta83e51b3f95ebb392
CH BGE Ms. fr. 5290-5293;Papiers Théodore Wälti;1910-1916;1910/1916;0.3 m;Wälti, Théodore (1862-1916);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vta5a4e43f3a97e7c49
CH BGE Ms. fr. 1295-1298;Papiers Paul-Georges Chevalley;1923-1930;1923/1930;0.3 m.;Chevalley, Paul-Georges (1906-1930);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vta3fc9290ce59cf533
"CH BGE Ms. mus. 457-500; non catalogué (2009/1)";Papiers Pierre Maurice;19e - 20e s.;1880/1936;5.7 m;Maurice, Pierre (1868-1936);Personnes et familles;Inventaire PDF;https://archives.bge-geneve.ch/ark:/17786/vtab8398b6da726a492
CH BGE Non catalogué (2019/35);Papiers Jean Marteau;20e siècle;1903/2002;1.8 ml;Marteau, Jean (1903-1970);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vtaa1846a97867bf451
CH BGE Ms. fr. 3951-3974a, Arch. de Saussure 366-388, Arch. de Saussure 580;Archives Ferdinand de Saussure;1867-1920;1867/1920;4 ml.;Saussure, Ferdinand de (1857-1913);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vta01d046d929f231ba
CH BGE non catalogué (2000/31);Papiers Jacques Necker;18e s.;1750/1799;1.3 m.;Necker, Jacques (1732-1804);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vta403b171d83ef1016
CH BGE Ms. fr. 3624-3630;Papiers Chrétien Des Loges;fin 16e - 19e s.;1575/1822;0.2 m;Des Loges, Chrétien (1760-1821);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vtae5e5c390dc164ee9
CH BGE Ms. Rousset 1-181;Papiers Jean Rousset;2ème moitié du 20e siècle;1940/2000;17 m.;Rousset, Jean (1910-2002);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vtabd78f4cc18a9f59e
CH BGE Ms. fr. 1341-1342, 3171-3192;Papiers David Dunant;1771-1939;1771/1939;1.4 m;Dunant, David (1784-1872);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vtadb3874a86c3ef7f5
CH BGE Ms. Dumont 1-83;Manuscrits Etienne Dumont;1707-1945;1707/1945;3.9 m;Dumont, Etienne (1759-1829);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vta51ebb3d0f7f66626
CH BGE Ms. suppl. 15, Ms. suppl. 690-695;Papiers Albert Richard;1862 et sans date;1862;0.3 m.;Richard, Albert (1801-1881);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vtac423d1c6a98f33f7
CH BGE Non catalogué (2013/25);Papiers Pierre-André Jacot;circa 1950-1992;1950/1992;4 m;Jacot, Pierre-André (1923-2002);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vta795b56df39dc7075
"CH BGE Ms. mus. 581-722, 724-1252; Non catalogué (2016/32)";Fonds Emile Jaques-Dalcroze;1821-1963 et sans date;1821/1963;22 m.;Jaques-Dalcroze, Emile (1865-1950);Personnes et familles;Inventaire mixte;https://archives.bge-geneve.ch/ark:/17786/vta200a4bbb8ef16f67
CH BGE Ms. fr. 1786-1789;Papiers Hippolyte Aubert;12e siècle [copie du 19e siècle] - 1916;1100/1916;4.4 m.;Aubert, Hippolyte-Victor (1865-1923);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vta8b0c6966bddbc15e
CH BGE Ms. fr. 671-675;Correspondance Jean-Alfred Gautier;1814-1880;1814/1880;0.2 m.;Gautier, Jean-Alfred (1793-1881);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vta53698bc0dc6c4b2f
CH BGE Ms. fr. 5731-5751, 5831-5840;Archives de l'Union des femmes de Genève;1890-1977;1890/1977;2.3 m;Union des femmes de Genève (1891- );Collectivités;Normal;https://archives.bge-geneve.ch/ark:/17786/vta1caf0659d9e8d0d1
"CH BGE Ms. fr. 650, 652, 656-657 ; Ms. suppl. 384";Papiers Gabriel Cramer;1728-1751;1728/1751;0.4 m;Cramer, Gabriel (1704-1752);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vta8c46e9ffd4d72051
CH BGE Ms. fr. 850-868, 1210;Papiers Michel Léger;18e s.;1730/1745;0.7 m.;Léger, Michel (1685-1745);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vta1139c09f13971676
CH BGE Non catalogué (2012/11);Papiers Edmond Perret;1964-1991;1964/1991;1 m;Perret, Edmond (1925-2012);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vta94dd997e91644988
CH BGE Arch. Gérald Cramer 1-69, Arch. Gérald Cramer Photocopies 1-8, Arch. Gérald Cramer Photos 1-769, Arch. Gérald Cramer Affiches 1-4;Archives Gérald Cramer;1943-1989;1943/1989;7.2 m.;Cramer, Gérald (1916-1991);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vtafab2255d8cbe5978
CH BGE Ms. fr. 1109, Ms fr. 4991-4995;Papiers Frédéric Gardy;19e - 20e s.;1800/1999;0.5 m;Gardy, Frédéric (1870-1957);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vta84e94d70cfa1f1bb
CH BGE Ms. fr. 587-588;Papiers Eugène Choisy;1893-1952;1893/1952;0.2 m.;Choisy, Eugène (1866-1949);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vta9ff5bbd7c76f17ce
CH BGE Non catalogué (1999/010);Papiers Edouard Gros;19e - 20e s.;1800/1999;0.2 m.;Gros, Edouard (19e s. - après 1916);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vta8543a17b17e49ead
CH BGE Ms. fr. 1575-1583;Papiers Edouard Schneider-Bonnet;1900-1939;1900/1939;1 m;Schneider, Edouard (ou Schneider-Bonnet) (1858-1942);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vta381cb14a25998652
CH BGE Ms. fr. 3765-3800;Papiers de la famille Duval;1749-1954;1749/1954;1.6 m;Famille Duval (15e - 20e s.);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vta29013dd4131f7ef8
CH BGE Non catalogué (2004/035, 2004/060);Papiers Eugénie Droz;1919-1976 et s.d.;1919/1976;0.8 m.;Droz, Eugénie (1893-1976);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vta73f073790da884a3
CH BGE Ms. fr. 6081-6130;Papiers Claude Aubert;1944-1978;1944/1978;3 m;Aubert, Claude (1915-1972);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vta687e9cf98daa2bf9
CH BGE Ms. Bonnet 1-94;Manuscrits Charles Bonnet;18e s.;1700/1799;4.8 m;Bonnet, Charles (1720-1793);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vta67ac19b06f1f2b44
CH BGE Ms. fr. 1360;Papiers Georges Sorel;1914-1958;1914/1958;0.1 m.;Sorel, Georges (1847-1922);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vta1af292351e348264
CH BGE Non catalogué (2001/006);Papiers Jean Vuilleumier;20e - 21e s.;1900/2099;0.8 m.;Vuilleumier, Jean (né en 1934);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vta58917e2a856938d2
CH BGE Ms. Et. Combe 1-66;Papiers Etienne Combe;19e - 20e s.;1800/1999;5 m;Combe, Etienne (1881-1962);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vtaa04b9902941487a7
CH BGE Ms. fr. 564-568;Papiers Jean-Isaac-Samuel Cellérier;1785-1821;1785/1821;0.3 m;Cellérier, Jean-Isaac-Samuel (1753-1844);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vta39acf75c307dbbb4
"CH BGE Ms. mus. 110-113; non catalogué (1989/025, 026, 037, 1990/008, 026, 1991/014, 020, 030, 1992/04, 015)";Papiers Ernest Bloch;19e - 20e s.;1800/1999;2 m.;Bloch, Ernest (1880-1959);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vta2f997b3421b84fa6
CH BGE Ms. fr. 8443-8445;Papiers François Dussaud;1881-1981;1881/1981;0.3 m;Dussaud, François (1870-1953);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vtaa4f1b015db13172f
CH BGE Non catalogué (1976/024);Papiers Robert Rahn;20e s.;1900/1999;2.5 m.;Rahn, Robert (1899-1974);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vtafbc7d5169272af07
CH BGE Ms. fr. 7811-7812;Correspondance Lucienne Florentin;1909-1999;1909/1999;0.4 m;Florentin, Lucienne (1872-1942);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vta70ab966d33cd6fde
CH BGE Non catalogué (1994/011);Papiers Jean Hort;19e - 20e s.;1800/1999;0.9 m.;Hort, Jean (1898-1968);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vta3910e1c82746197c
CH BGE Ms. fr. 6738-6758;Papiers Benjamin Crud;18e - 19e s.;1700/1899;1 m.;Crud, (Elie Victor) Benjamin (1772-1845);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vtaa113fc47b94de03d
CH BGE Ms. fr. 2195-2237;Papiers Isaac Benrubi;1906-1943;1906/1943;1.6 m.;Benrubi, Isaac (1876-1943);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vtab564786de3b6537d
CH BGE Ms fr. 7437-7438;Papiers Marc Ponson;1812-1950;1812/1950;2 cartons, 0.2 m.;Marc Ponson (1870-1950);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vta2c491f7a74b1fe63
CH BGE Ms. fr. 1261-1264, 1564, 1884-1885, 9013;Papiers Gaspard Vallette;1854-1911;1854/1911;0.67 m;Vallette, Gaspard (1865-1911);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vtaa5ed9df540652742
CH BGE Ms. fr. 1966;Papiers du Club jurassien (section de Genève), Association Féleu;c. 1878-1905;1878/1905;0.1 m.;Club jurassien, section de Genève (fondée en 1873);Collectivités;Normal;https://archives.bge-geneve.ch/ark:/17786/vtaa628072378f53ca1
CH BGE 1993/004;Papiers Charles Cornu;19e - 20e s.;1800/1999;1 m.;Cornu, Charles (1890-1966);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vtaec44834d9aab9c4b
CH BGE Non catalogué (1995/009);Papiers Perceval Frutiger;19e - 20e s.;1800/1999;0.9 m.;Frutiger, Perceval (1896-1949);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vtacb5d58510f469ae1
Ms. fr. 7216-7238;Famille Constantin et Abraham Constantin;1585-2003;1585/2003;1.7 m;Constantin, famille (16e-20e s.);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vta2b3544a1deaef366
CH BGE Ms. fr. 1271, 3641-3667;Papiers Marc-Antoine Fazy-Pasteur;1793-1949;1700/1899;1.5 m;Fazy-Pasteur, Marc-Antoine (1778-1856);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vta2ef8fe08fca7136f
CH BGE Ms. fr. 556-563;Papiers Jean-Henri Merle d'Aubigné;1808-1876;1808/1876;0.2 m.;Merle d'Aubigné, Jean-Henri (1794-1872);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vtaf6994874898dbea8
"CH BGE Ms. suppl. 1715-1750; non catalogué (2013/039)";Papiers Edouard Rod;18e - 19e s.;1700/1899;2.5 m;Rod, Edouard (1857-1910);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vta7df266675cb1aeb2
CH BGE non catalogué (2017/1);Papiers Georges Brosset;20e-21e siècle;1901/2011;4 ml.;Brosset, Georges (1910-2011);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vta056241e16be72e59
CH BGE Ms. fr. 1366, Ms. fr. 6496-6500;La Vie Protestante;1944-1985;1944/1985;0.5 ml;La Vie Protestante (presse);Collectivités;Normal;https://archives.bge-geneve.ch/ark:/17786/vtaa1845b143fe5d550
"CH BGE Ms. mus. 571/3-5; non catalogué (1968/22, 1989/3, 1991/18, 1996/5, 1997/49, 1998/40, 1999/2, 2001/11, 2007/43, 2010/10, 2016/22)";Papiers Roger Vuataz;20e siècle;1900/1988;6 m.;Vuataz, Roger (1898-1988);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vtad935d0bb3a7fbb6d
CH BGE Non catalogué (2014/12);Papiers Denis van Berchem;1950-2000;1950/2000;1 m;Berchem, Denis van (1908-1994);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vtab72f66fd8c85cd4c
CH BGE Non catalogué (2003/041, 2004/017);Papiers Théo Roth;19e - 20e s.;1800/1999;0.3 m.;Roth, Théo (1894-1987);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vtaa34326e86f285984
CH BGE Coll. Meunier [cotes diverses];Manuscrits, dessins et correspondances de la Collection Charles Meunier;1833-1946;1833/1946;0.4 m;Meunier, Charles (1868-1948);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vta6e83d48e94d42541
CH BGE Ms. fr. 4040-4067;Papiers Alexis François;1900-1959;1900/1959;1.5 m;François, Alexis (1877-1958);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vta782050af31f233af
CH BGE Ms. fr. 8169-8188;Fonds Henri Fehr;1829-1970;1829/1970;1,7 m.;Fehr, Henri (1870-1954);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vta447d843d67cebdf1
